0:0:0:0:0:0:0:1 - - [25/Apr/2024:00:23:06 +0700] "GET /MVC/data/09_Before-You-Become-A-Flight-Attendant-1024x538%20(1).webp HTTP/1.1" 200 76684
0:0:0:0:0:0:0:1 - - [25/Apr/2024:00:23:06 +0700] "GET /MVC/data/z5375641095319_b0ce4bde9e7730c6331ce1b3076104d3.jpg HTTP/1.1" 200 100574
0:0:0:0:0:0:0:1 - - [25/Apr/2024:00:29:01 +0700] "GET /MVC/tests HTTP/1.1" 200 26691
0:0:0:0:0:0:0:1 - - [25/Apr/2024:00:29:05 +0700] "GET /MVC/tests/guide?testsID=1 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [25/Apr/2024:01:29:36 +0700] "GET /MVC/ HTTP/1.1" 200 43607
0:0:0:0:0:0:0:1 - - [25/Apr/2024:01:29:37 +0700] "GET /favicon.ico HTTP/1.1" 404 685
0:0:0:0:0:0:0:1 - - [25/Apr/2024:01:29:39 +0700] "GET /MVC/login HTTP/1.1" 200 30023
0:0:0:0:0:0:0:1 - - [25/Apr/2024:01:29:44 +0700] "POST /MVC/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Apr/2024:01:29:44 +0700] "GET /MVC/teacher HTTP/1.1" 200 1106
0:0:0:0:0:0:0:1 - - [25/Apr/2024:01:29:44 +0700] "GET /MVC/data/jpeg-3.jpg HTTP/1.1" 500 1791
0:0:0:0:0:0:0:1 - - [25/Apr/2024:01:29:46 +0700] "GET /MVC/teacher/tests HTTP/1.1" 200 4176
0:0:0:0:0:0:0:1 - - [25/Apr/2024:01:29:47 +0700] "GET /MVC/teacher/question?testsID=1 HTTP/1.1" 200 45250
0:0:0:0:0:0:0:1 - - [25/Apr/2024:01:29:47 +0700] "GET /MVC/data/z5375641095319_b0ce4bde9e7730c6331ce1b3076104d3_ef588712-18c3-4cda-887e-40e3e9bd7217.jpg HTTP/1.1" 200 100574
0:0:0:0:0:0:0:1 - - [25/Apr/2024:01:29:47 +0700] "GET /MVC/ HTTP/1.1" 200 43605
0:0:0:0:0:0:0:1 - - [25/Apr/2024:01:29:47 +0700] "GET /MVC/ HTTP/1.1" 200 43605
0:0:0:0:0:0:0:1 - - [25/Apr/2024:01:29:47 +0700] "GET /MVC/data/02_callerid-768x512_9a434619-5683-443d-ab6f-c0f093eef94a.webp HTTP/1.1" 200 12196
0:0:0:0:0:0:0:1 - - [25/Apr/2024:01:29:47 +0700] "GET /MVC/data/ets-test-02-part-1-1_6f3a9870-173c-420d-9e0f-1044a20ca48d.mp3 HTTP/1.1" 200 466313
0:0:0:0:0:0:0:1 - - [25/Apr/2024:01:29:47 +0700] "GET /MVC/data/ets-test-02-part-1-2.mp3 HTTP/1.1" 200 497620
0:0:0:0:0:0:0:1 - - [25/Apr/2024:01:29:47 +0700] "GET /MVC/data/ets-test-01-part-1-3_d597830c-a7b0-4ca0-a7cb-c90b36d4d31d.mp3 HTTP/1.1" 200 504299
0:0:0:0:0:0:0:1 - - [25/Apr/2024:01:29:47 +0700] "GET /MVC/ HTTP/1.1" 200 43605
